reporting_unit,contest,candidate,votes,county,ctv,municipality
"CITY OF RACINE, WARD 37",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 38",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 38",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 39",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 39",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 40",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 40",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 41",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 41",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 42",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 42",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 10",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 11",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 12",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 13",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 14",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 15",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,RACINE,C,RACINE
