reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF SALEM WARD 1,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,YES,NA,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,NO,NA,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,YES,NA,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO,NA,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,PLUM CITY SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,YES,63,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,PLUM CITY SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO...59,80,PIERCE,T,SALEM 
TOWN OF SALEM WARD 1,PLUM CITY SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO...60,NA,PIERCE,T,SALEM 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,KAMALA D. HARRIS   TIM WALZ,106,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,DONALD J. TRUMP   JD VANCE,267,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,RANDALL TERRY   STEPHEN BRODEN,1,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER   MIKE TER MAAT,1,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,JILL STEIN   RUDOLPH WARE,3,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ   KARINA GARCIA,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,CORNEL WEST   MELINA ABDULLAH,2,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.   NICOLE SHANAHAN...12",13,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.   NICOLE SHANAHAN...13",NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,PETER SONSKI   LAUREN ONAK (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,CHERUNDA LYNN FOX (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,BRIAN KIENITZ (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,DOUG JENKINS   KIMBERLY LALONDE (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,FUTURE MADAM POTUS   JESSICA KENNEDY (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESIDENT OF THE UNITED STATES,SCATTERING,1,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,TAMMY BALDWIN,118,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,ERIC  HOVDE,270,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,PHIL ANDERSON,2,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,THOMAS LEAGER,4,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,JOHN SCHIESS (WRITE-IN),NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,UNITED STATES SENATOR,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE IN CONGRESS DISTRICT 3,REBECCA COOKE,128,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE IN CONGRESS DISTRICT 3,DERRICK VAN ORDEN,260,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE IN CONGRESS DISTRICT 3,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,STATE SENATOR DISTRICT 10,PAUL HAMBLETON,108,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,STATE SENATOR DISTRICT 10,ROB STAFSHOLT,279,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,STATE SENATOR DISTRICT 10,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,DANIELLE  JOHNSON,111,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,ROB KREIBICH,279,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,TERRY SCHOONOVER,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,TREIG E. PRONSCHINSKE,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,ALISON H. PAGE,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,SHANNON  ZIMMERMAN,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,SCATTERING,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY DISTRICT ATTORNEY,HALLE  HATCH,279,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY DISTRICT ATTORNEY,SCATTERING,26,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY CLERK,JAMIE R. FEUERHELM,306,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY CLERK,SCATTERING,22,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY TREASURER,KATHY FUCHS,343,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY TREASURER,SCATTERING,6,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY REGISTER OF DEEDS,ANGELA HOVEN,341,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PIERCE COUNTY REGISTER OF DEEDS,SCATTERING,5,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,YES,321,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,STATE OF WISCONSIN ELIGIBILITY TO VOTE REFERENDUM,NO,69,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,TOWN OF ELLSWORTH CLERK APPOINTMENT REFERENDUM,YES,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,TOWN OF ELLSWORTH CLERK APPOINTMENT REFERENDUM,NO,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,YES,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,TOWN OF MARTELL CLERK AND TREASURER APPOINTMENT REFERENDUM,NO,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,YES,NA,PIERCE,T,SPRING LAKE 
TOWN OF SPRING LAKE WARDS 1-2,PRESCOTT SCHOOL DISTRICT EXCEED REVENUE LIMIT REFERENDUM,NO,NA,PIERCE,T,SPRING LAKE 
