contest,candidate,reporting_unit,votes,county,ctv,municipality
SENATOR,BALDWIN,TOWN OF MEEME WARDS 1-2,295,MANITOWOC,T,MEEME
SENATOR,BALDWIN,TOWN OF MISHICOT WARDS 1-2,232,MANITOWOC,T,MISHICOT
SENATOR,BALDWIN,TOWN OF NEWTON WARDS 1-3,406,MANITOWOC,T,NEWTON
SENATOR,BALDWIN,TOWN OF ROCKLAND WARDS 1-2,152,MANITOWOC,T,ROCKLAND
SENATOR,BALDWIN,TOWN OF SCHLESWIG WARDS 1-2,442,MANITOWOC,T,SCHLESWIG
SENATOR,BALDWIN,TOWN OF TWO CREEKS WARD 1,95,MANITOWOC,T,TWO CREEKS
SENATOR,BALDWIN,TOWN OF TWO RIVERS WARDS 1-3,389,MANITOWOC,T,TWO RIVERS
SENATOR,BALDWIN,VILLAGE OF CLEVELAND WARDS 1-2,304,MANITOWOC,V,CLEVELAND
SENATOR,BALDWIN,VILLAGE OF FRANCIS CREEK WARD 1,144,MANITOWOC,V,FRANCIS CREEK
SENATOR,BALDWIN,VILLAGE OF KELLNERSVILLE WARD 1,74,MANITOWOC,V,KELLNERSVILLE
SENATOR,BALDWIN,VILLAGE OF MARIBEL WARD 1,56,MANITOWOC,V,MARIBEL
SENATOR,BALDWIN,VILLAGE OF MISHICOT WARDS 1-4,305,MANITOWOC,V,MISHICOT
SENATOR,BALDWIN,VILLAGE OF REEDSVILLE WARDS 1-2,194,MANITOWOC,V,REEDSVILLE
SENATOR,BALDWIN,VILLAGE OF ST NAZIANZ WARD 1,115,MANITOWOC,V,ST NAZIANZ
SENATOR,BALDWIN,VILLAGE OF VALDERS WARD 1,159,MANITOWOC,V,VALDERS
SENATOR,BALDWIN,VILLAGE OF WHITELAW WARD 1,153,MANITOWOC,V,WHITELAW
SENATOR,BALDWIN,"CITY OF KIEL WARDS 1-6,8",808,MANITOWOC,C,KIEL
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 1-2,760,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 3-4,846,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 5-6,799,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 7-8,546,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 9-10,763,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 11-12,872,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,"CITY OF MANITOWOC WARDS 13-14,23",632,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 15-16,916,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,"CITY OF MANITOWOC WARDS 17-18,21-22",746,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF MANITOWOC WARDS 19-20,1012,MANITOWOC,C,MANITOWOC
SENATOR,BALDWIN,CITY OF TWO RIVERS WARDS 1-5,1692,MANITOWOC,C,TWO RIVERS
SENATOR,BALDWIN,CITY OF TWO RIVERS WARDS 6-8,877,MANITOWOC,C,TWO RIVERS
SENATOR,HOVDE,TOWN OF CATO WARDS 1-3,733,MANITOWOC,T,CATO
SENATOR,HOVDE,TOWN OF CENTERVILLE WARD 1,273,MANITOWOC,T,CENTERVILLE
SENATOR,HOVDE,TOWN OF COOPERSTOWN WARDS 1-2,588,MANITOWOC,T,COOPERSTOWN
SENATOR,HOVDE,TOWN OF EATON WARD 1,380,MANITOWOC,T,EATON
SENATOR,HOVDE,TOWN OF FRANKLIN WARDS 1-3,569,MANITOWOC,T,FRANKLIN
SENATOR,HOVDE,TOWN OF GIBSON WARDS 1-2,536,MANITOWOC,T,GIBSON
SENATOR,HOVDE,TOWN OF KOSSUTH WARDS 1-3,860,MANITOWOC,T,KOSSUTH
SENATOR,HOVDE,TOWN OF LIBERTY WARDS 1-2,630,MANITOWOC,T,LIBERTY
