reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF LIMA,ASSEMBLY REP DISTRICT 29_NA,TERRY SCHOONOVER (DEM),105,PEPIN,T,LIMA
TOWN OF LIMA,ASSEMBLY REP DISTRICT 29_NA,TREIG PRONSHINSKE (REP),242,PEPIN,T,LIMA
TOWN OF LIMA,DISTRICT ATTORNEY_NA,JON D. SEIFERT (DEM),278,PEPIN,T,LIMA
TOWN OF LIMA,COUNTY CLERK_NA,AUDREY BAUER (REP),336,PEPIN,T,LIMA
TOWN OF LIMA,TREASURER_NA,PATRICIA A. SCHARR (REP),332,PEPIN,T,LIMA
TOWN OF LIMA,REGISTER OF DEEDS_NA,LISA TRAUN (REP),277,PEPIN,T,LIMA
TOWN OF LIMA,REGISTER OF DEEDS_NA,DEBRA FISHER (IND),67,PEPIN,T,LIMA
TOWN OF LIMA,STATE REFERENDUM_NA,YES,270,PEPIN,T,LIMA
TOWN OF LIMA,STATE REFERENDUM_NA,NO,73,PEPIN,T,LIMA
TOWN OF PEPIN,PRESIDENT_NA,KAMALA HARRIS / TIM WALZ (DEM),195,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,DONALD TRUMP / JD VANCE (REP),304,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,RANDALL TERRY / STEPHEN BRODEN (CONSTITUTION),2,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,CHASE OLIVER / MIKE TER MAAT (LIBERTARIAN),1,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,JILL STEIN / RUDOLPH WARE (WI GREEN),1,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,CAUDIA DE LA CRUZ / KARINA GARCIA (SOC / LIB),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,CORNEL WEST / MELINA ABDULA (JUSTICE FOR ALL),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,ROBERT KENNEDY / NICOLE SHANAHAN (WE THE PPLE),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_REGISTERED WRITE-INS,PETER SONSKI/LAUREN ONAK (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,CHERUNDA FOX (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,BRIAN KIENITZ (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,DOUG JENKINS / KIMBERLY LALONDE (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),199,PEPIN,T,PEPIN
TOWN OF PEPIN,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),298,PEPIN,T,PEPIN
TOWN OF PEPIN,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),1,PEPIN,T,PEPIN
TOWN OF PEPIN,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),2,PEPIN,T,PEPIN
TOWN OF PEPIN,UNITED STATES SENATOR_NA,JOHN SCHIESS (REGISTERED WRITE-IN) (IND),0,PEPIN,T,PEPIN
TOWN OF PEPIN,REP. IN CONGRESS DISTRICT 3_NA,REBECCA COOKE (DEM),200,PEPIN,T,PEPIN
TOWN OF PEPIN,REP. IN CONGRESS DISTRICT 3_NA,DERRICK VAN ORDEN (REP),300,PEPIN,T,PEPIN
TOWN OF PEPIN,STATE SENATOR DISTRICT 10_NA,PAUL HAMBLETON (DEM),191,PEPIN,T,PEPIN
TOWN OF PEPIN,STATE SENATOR DISTRICT 10_NA,ROB STAFSHOLT (REP),303,PEPIN,T,PEPIN
TOWN OF PEPIN,ASSEMBLY REP DISTRICT 29_NA,TERRY SCHOONOVER (DEM),197,PEPIN,T,PEPIN
TOWN OF PEPIN,ASSEMBLY REP DISTRICT 29_NA,TREIG PRONSHINSKE (REP),299,PEPIN,T,PEPIN
TOWN OF PEPIN,DISTRICT ATTORNEY_NA,JON D. SEIFERT (DEM),411,PEPIN,T,PEPIN
TOWN OF PEPIN,COUNTY CLERK_NA,AUDREY BAUER (REP),425,PEPIN,T,PEPIN
TOWN OF PEPIN,TREASURER_NA,PATRICIA A. SCHARR (REP),432,PEPIN,T,PEPIN
TOWN OF PEPIN,REGISTER OF DEEDS_NA,LISA TRAUN (REP),306,PEPIN,T,PEPIN
TOWN OF PEPIN,REGISTER OF DEEDS_NA,DEBRA FISHER (IND),162,PEPIN,T,PEPIN
TOWN OF PEPIN,STATE REFERENDUM_NA,YES,371,PEPIN,T,PEPIN
TOWN OF PEPIN,STATE REFERENDUM_NA,NO,114,PEPIN,T,PEPIN
TOWN OF STOCKHOLM,PRESIDENT_NA,KAMALA HARRIS / TIM WALZ (DEM),81,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,DONALD TRUMP / JD VANCE (REP),81,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,RANDALL TERRY / STEPHEN BRODEN (CONSTITUTION),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,CHASE OLIVER / MIKE TER MAAT (LIBERTARIAN),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,JILL STEIN / RUDOLPH WARE (WI GREEN),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,CAUDIA DE LA CRUZ / KARINA GARCIA (SOC / LIB),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,CORNEL WEST / MELINA ABDULA (JUSTICE FOR ALL),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,ROBERT KENNEDY / NICOLE SHANAHAN (WE THE PPLE),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_REGISTERED WRITE-INS,PETER SONSKI/LAUREN ONAK (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,CHERUNDA FOX (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,BRIAN KIENITZ (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,DOUG JENKINS / KIMBERLY LALONDE (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),81,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),81,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,UNITED STATES SENATOR_NA,JOHN SCHIESS (REGISTERED WRITE-IN) (IND),0,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,REP. IN CONGRESS DISTRICT 3_NA,REBECCA COOKE (DEM),82,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,REP. IN CONGRESS DISTRICT 3_NA,DERRICK VAN ORDEN (REP),81,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,STATE SENATOR DISTRICT 10_NA,PAUL HAMBLETON (DEM),79,PEPIN,T,STOCKHOLM
TOWN OF STOCKHOLM,STATE SENATOR DISTRICT 10_NA,ROB STAFSHOLT (REP),81,PEPIN,T,STOCKHOLM
