reporting_unit,contest,candidate,votes,county,ctv,municipality
VILLAGE OF WEST SALEM,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1543,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1588,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,V,WEST SALEM
CITY OF LA CROSSE WARD 1,UNITED STATES SENATOR,DEM TAMMYBALDWIN,531,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,UNITED STATES SENATOR,REP ERIC HOVDE,352,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,UNITED STATES SENATOR,IND PHIL ANDERSON,16,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,UNITED STATES SENATOR,IND THOMASLEAGER,6,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,541,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,359,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 1,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,UNITED STATES SENATOR,DEM TAMMYBALDWIN,434,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,UNITED STATES SENATOR,REP ERIC HOVDE,318,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,UNITED STATES SENATOR,IND PHIL ANDERSON,13,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,UNITED STATES SENATOR,IND THOMASLEAGER,15,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,457,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,320,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 2,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,UNITED STATES SENATOR,DEM TAMMYBALDWIN,480,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,UNITED STATES SENATOR,REP ERIC HOVDE,183,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,UNITED STATES SENATOR,IND PHIL ANDERSON,13,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,UNITED STATES SENATOR,IND THOMASLEAGER,11,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,492,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,197,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 3,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,UNITED STATES SENATOR,DEM TAMMYBALDWIN,680,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,UNITED STATES SENATOR,REP ERIC HOVDE,408,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,UNITED STATES SENATOR,IND PHIL ANDERSON,18,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,UNITED STATES SENATOR,IND THOMASLEAGER,17,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,708,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,414,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 4,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,UNITED STATES SENATOR,DEM TAMMYBALDWIN,564,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,UNITED STATES SENATOR,REP ERIC HOVDE,378,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,UNITED STATES SENATOR,IND PHIL ANDERSON,15,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,UNITED STATES SENATOR,IND THOMASLEAGER,8,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,583,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,377,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 5,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,UNITED STATES SENATOR,DEM TAMMYBALDWIN,657,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,UNITED STATES SENATOR,REP ERIC HOVDE,378,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,UNITED STATES SENATOR,IND PHIL ANDERSON,16,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,UNITED STATES SENATOR,IND THOMASLEAGER,18,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,688,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,375,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 6,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,UNITED STATES SENATOR,DEM TAMMYBALDWIN,1068,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,UNITED STATES SENATOR,REP ERIC HOVDE,412,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,UNITED STATES SENATOR,IND PHIL ANDERSON,10,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,UNITED STATES SENATOR,IND THOMASLEAGER,4,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1076,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,403,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 7,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,UNITED STATES SENATOR,DEM TAMMYBALDWIN,690,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,UNITED STATES SENATOR,REP ERIC HOVDE,475,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,UNITED STATES SENATOR,IND PHIL ANDERSON,19,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,UNITED STATES SENATOR,IND THOMASLEAGER,5,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,706,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,473,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 8,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,UNITED STATES SENATOR,DEM TAMMYBALDWIN,489,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,UNITED STATES SENATOR,REP ERIC HOVDE,499,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,UNITED STATES SENATOR,IND PHIL ANDERSON,8,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,UNITED STATES SENATOR,IND THOMASLEAGER,11,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,500,LA CROSSE,C,LA CROSSE
CITY OF LA CROSSE WARD 9,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,485,LA CROSSE,C,LA CROSSE
