rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
BROWN - CITY OF GREEN BAY WARD 44,4069.466370079927,830,51,613,16,38,98,1,0,13,626,24,496,10,29,59,0,0,8
BROWN - CITY OF GREEN BAY WARD 45,1365.6258377600368,2858,168,2099,62,91,406,1,21,10,2229,91,1726,31,69,291,1,16,4
BROWN - CITY OF GREEN BAY WARD 45A,303.9432385517785,112,10,71,0,5,19,1,5,1,84,5,57,0,5,11,1,5,0
BROWN - CITY OF GREEN BAY WARD 46,3756.853668410042,2878,232,1740,142,65,639,0,27,33,2169,147,1452,73,37,419,0,22,19
BROWN - CITY OF GREEN BAY WARD 47,1627.2152435834837,3067,137,2513,66,75,214,0,21,41,2286,85,1958,31,41,137,0,19,15
BROWN - CITY OF GREEN BAY WARD 5,659.6139375728011,1728,158,1391,51,79,20,5,15,9,1299,77,1128,33,32,10,5,9,5
BROWN - CITY OF GREEN BAY WARD 6,746.1488158662823,3191,301,2540,71,184,55,2,36,2,2490,182,2084,44,107,44,2,26,1
BROWN - CITY OF GREEN BAY WARD 7,1777.6033128714828,3171,305,2542,51,149,84,0,30,10,2478,174,2094,27,96,65,0,17,5
BROWN - CITY OF GREEN BAY WARD 8,4084.229194544541,2520,330,1885,58,177,47,1,15,7,1901,177,1535,35,108,34,1,9,2
BROWN - CITY OF GREEN BAY WARD 9,3564.879711263946,1540,244,1058,75,105,38,4,14,2,1157,151,873,38,68,19,4,4,0
BROWN - TOWN OF EATON WARDS 1-2,68.93900985766224,1662,34,1577,3,25,5,0,18,0,1277,18,1228,2,11,3,0,15,0
BROWN - TOWN OF GLENMORE WARDS 1-2,31.862344112709817,1045,33,993,0,5,5,1,7,1,826,18,795,0,2,5,0,6,0
BROWN - TOWN OF GREEN BAY WARDS 1-3,99.44918449452202,2197,36,2127,3,2,14,0,13,2,1711,21,1665,3,2,6,0,13,1
BROWN - TOWN OF HOLLAND WARDS 1-2,43.34759715376439,1559,34,1463,4,6,34,2,10,6,1225,27,1155,0,5,28,0,5,5
BROWN - TOWN OF HUMBOLDT WARDS 1-2,54.19286037964328,1299,18,1230,15,9,15,0,8,4,1050,11,1000,9,8,12,0,8,2
BROWN - TOWN OF LAWRENCE WARDS 1-7,414.6193571528587,6336,81,5732,53,303,98,0,59,10,4714,50,4344,39,193,54,0,24,10
BROWN - TOWN OF LEDGEVIEW WARD 6,1387.0276839136795,1150,19,1059,25,21,18,1,6,1,1029,12,967,14,16,15,0,4,1
"BROWN - TOWN OF LEDGEVIEW WARDS 1-5,7-11",486.1129387613458,7832,222,7002,129,236,88,1,136,18,5407,133,4941,65,142,51,0,68,7
BROWN - TOWN OF MORRISON WARDS 2-1,46.5003921405751,1689,105,1530,14,5,20,0,11,4,1251,74,1149,1,4,14,0,6,3
BROWN - TOWN OF NEW DENMARK WARDS 1-3,45.51631807834083,1558,19,1485,8,18,12,0,16,0,1188,7,1152,6,6,7,0,10,0
BROWN - TOWN OF PITTSFIELD WARDS 1-3,90.69683956609131,2884,30,2746,10,18,44,3,31,2,2234,22,2159,1,7,25,2,18,0
BROWN - TOWN OF ROCKLAND WARDS 1-2,103.84664639583758,945,21,882,11,17,9,0,4,1,742,11,708,5,8,6,0,3,1
BROWN - TOWN OF ROCKLAND WARDS 3-4,68.50655816611334,830,19,778,5,12,10,0,6,0,618,12,590,2,4,5,0,5,0
BROWN - TOWN OF SCOTT WARDS 1-4,200.68843149107943,3636,73,3347,49,55,74,9,24,5,2952,50,2767,30,39,43,4,17,2
BROWN - TOWN OF WRIGHTSTOWN WARDS 1-4,62.098718050713195,1988,75,1842,14,4,38,1,14,0,1492,33,1420,5,3,22,1,8,0
BROWN - VILLAGE OF ALLOUEZ WARDS 1-2,2524.3925122687833,2779,199,2310,80,69,53,0,57,11,2247,122,1960,40,44,37,0,39,5
BROWN - VILLAGE OF ALLOUEZ WARDS 3-4,3027.967002297815,3569,240,3016,79,108,82,1,38,5,2822,137,2482,43,67,60,1,29,3
BROWN - VILLAGE OF ALLOUEZ WARDS 5-6,2669.4120838760664,3463,177,2992,83,79,72,4,48,8,2667,94,2399,39,54,38,4,37,2
BROWN - VILLAGE OF ALLOUEZ WARDS 7-9,4307.178393477948,4345,251,3133,713,94,110,6,34,4,3605,178,2581,682,64,71,2,25,2
BROWN - VILLAGE OF ASHWAUBENON WARDS 1-2,1140.8801351376082,2727,148,2239,69,159,88,3,13,8,2273,97,1963,33,101,64,1,13,1
BROWN - VILLAGE OF ASHWAUBENON WARDS 11-12,705.572383565422,3052,114,2633,43,145,75,4,34,4,2408,67,2134,30,108,41,3,23,2
BROWN - VILLAGE OF ASHWAUBENON WARDS 3-4,1628.552617128984,2312,191,1788,106,81,112,0,24,10,1820,109,1510,55,53,74,0,16,3
BROWN - VILLAGE OF ASHWAUBENON WARDS 5-6,3007.6474981602164,2662,97,2241,98,88,97,1,28,12,2195,71,1900,62,62,72,0,22,6
