rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
RACINE - CITY OF RACINE WARD 5,5636.684554641195,2128,911,251,920,11,12,1,13,9,1428,577,204,610,11,12,1,7,6
RACINE - CITY OF RACINE WARD 50,7413.475328004771,65,19,13,30,0,3,0,0,0,53,10,12,28,0,3,0,0,0
RACINE - CITY OF RACINE WARD 51,12266.08744819046,72,21,15,28,2,0,0,5,1,39,5,12,14,2,0,0,5,1
RACINE - CITY OF RACINE WARD 52,16571.914698887067,196,89,19,83,0,0,0,2,3,118,55,16,46,0,0,0,0,1
RACINE - CITY OF RACINE WARD 53,10796.710297094982,789,302,151,297,6,7,1,7,18,531,195,120,189,4,6,1,4,12
RACINE - CITY OF RACINE WARD 54,3640.459599883738,439,208,58,155,1,4,0,9,4,298,135,51,98,0,4,0,8,2
RACINE - CITY OF RACINE WARD 55,8625.604524856499,103,34,8,51,0,2,0,5,3,80,24,6,41,0,2,0,4,3
RACINE - CITY OF RACINE WARD 56,12603.1191426518,196,43,70,77,0,5,0,1,0,129,23,60,44,0,1,0,1,0
RACINE - CITY OF RACINE WARD 57,9632.547388434512,742,147,385,176,1,12,0,16,5,517,81,308,105,1,12,0,5,5
RACINE - CITY OF RACINE WARD 6,5140.866365493277,1161,354,381,377,11,5,1,12,20,811,228,319,231,5,4,1,10,13
RACINE - CITY OF RACINE WARD 7,4831.956444525891,1321,358,349,593,11,2,0,2,6,932,213,284,423,6,2,0,1,3
RACINE - CITY OF RACINE WARD 8,4091.758078247802,1379,481,239,636,2,8,0,8,5,952,312,195,429,0,6,0,6,4
RACINE - CITY OF RACINE WARD 9,8654.509034997265,2622,930,749,893,7,8,1,18,16,1876,632,640,570,7,6,0,11,10
RACINE - TOWN OF BURLINGTON WARDS 1-7,161.7620120335909,3715,151,3409,26,23,72,0,30,4,2988,109,2766,19,15,56,0,23,0
RACINE - TOWN OF BURLINGTON WARDS 8-11,277.83972471886585,2750,126,2487,21,22,56,0,35,3,2235,80,2069,8,17,40,0,21,0
RACINE - TOWN OF DOVER WARDS 1-8,121.42190394926158,4282,145,3803,161,38,83,3,42,7,3586,110,3209,140,18,73,2,28,6
RACINE - TOWN OF NORWAY WARDS 1-11,234.8878494756291,7916,284,7305,42,93,94,3,85,10,6270,167,5892,19,66,66,2,55,3
RACINE - TOWN OF WATERFORD WARDS 1-10,203.86508007301535,6403,203,5923,33,57,103,2,69,13,5074,123,4760,17,34,76,2,53,9
RACINE - VILLAGE OF CALEDONIA WARD 3,431.27576316392987,1417,113,1172,48,40,10,0,31,3,1085,55,928,33,33,7,0,28,1
RACINE - VILLAGE OF CALEDONIA WARDS 1-2,218.66517585910324,2700,220,2297,53,44,49,2,33,2,2148,115,1902,37,31,36,2,25,0
"RACINE - VILLAGE OF CALEDONIA WARDS 11,14-15,17",1374.7611254835217,4888,394,4010,220,94,82,4,75,9,3972,239,3413,143,76,63,4,31,3
"RACINE - VILLAGE OF CALEDONIA WARDS 16,18-19",426.39079419999496,3480,335,2923,55,61,58,1,37,10,2735,207,2367,31,44,49,0,32,5
RACINE - VILLAGE OF CALEDONIA WARDS 4-5,197.3626805315203,2183,176,1822,28,93,24,2,34,4,1829,122,1581,20,62,18,2,23,1
RACINE - VILLAGE OF CALEDONIA WARDS 6-7,900.9991745253876,2085,184,1644,156,32,31,2,23,13,1665,107,1408,84,17,22,2,18,7
"RACINE - VILLAGE OF CALEDONIA WARDS 8,20,21",1421.830923580367,3238,293,2629,162,57,35,3,48,11,2541,158,2170,98,45,24,2,40,4
"RACINE - VILLAGE OF CALEDONIA WARDS 9-10,12-13",2425.417176054318,5370,483,4174,361,175,78,2,75,22,4306,322,3455,252,135,67,2,60,13
RACINE - VILLAGE OF ELMWOOD PARK WARD 1,3386.062021567423,510,36,422,18,12,5,0,13,4,415,26,345,16,11,4,0,11,2
RACINE - VILLAGE OF MOUNT PLEASANT WARD 4,2502.7356449153344,1201,125,838,176,26,17,0,15,4,960,80,721,117,13,16,0,12,1
"RACINE - VILLAGE OF MOUNT PLEASANT WARDS 1,10,12,15-16",389.86892337898666,5597,430,4401,432,164,78,1,80,11,4705,294,3892,254,144,60,1,53,7
RACINE - VILLAGE OF MOUNT PLEASANT WARDS 19-23,1382.0369125921711,5639,883,4016,486,105,60,4,69,16,4490,586,3386,328,81,44,2,52,11
"RACINE - VILLAGE OF MOUNT PLEASANT WARDS 2-3,11,17-18",1751.9557377008662,5720,650,3733,886,252,79,5,83,32,4705,421,3259,672,209,59,3,58,24
"RACINE - VILLAGE OF MOUNT PLEASANT WARDS 5-6,25",1647.9966141941286,2851,337,2143,226,47,51,0,31,16,2246,204,1784,160,36,37,0,19,6
RACINE - VILLAGE OF MOUNT PLEASANT WARDS 7-8,3031.969596994893,1870,119,1555,104,37,15,0,30,10,1541,78,1324,73,31,13,0,17,5
"RACINE - VILLAGE OF MOUNT PLEASANT WARDS 9,13-14,24",550.6212585471637,5144,467,4134,221,178,72,3,60,9,3926,259,3310,160,118,41,2,35,1
RACINE - VILLAGE OF NORTH BAY WARD 1,1984.447163104441,209,18,168,8,4,4,0,5,2,178,8,154,3,4,4,0,5,0
RACINE - VILLAGE OF RAYMOND WARDS 1-6,110.11929569886532,3926,245,3477,41,32,62,1,65,3,3161,153,2855,25,26,50,1,51,0
RACINE - VILLAGE OF ROCHESTER WARDS 1-6,217.5259504802169,3785,149,3490,28,38,38,4,34,4,3018,101,2822,15,22,26,4,26,2
RACINE - VILLAGE OF STURTEVANT WARDS 1-8,1685.9348658731617,6919,704,4623,1227,170,112,4,60,19,5738,515,3871,1083,119,97,4,39,10
RACINE - VILLAGE OF UNION GROVE WARDS 1-7,1856.7886991868895,4806,252,4209,88,79,69,0,95,14,3740,163,3352,62,47,54,0,54,8
RACINE - VILLAGE OF WATERFORD WARDS 1-10,2215.8739658195677,5653,254,5159,52,73,61,1,47,6,4371,132,4086,27,43,38,1,39,5
RACINE - VILLAGE OF WIND POINT WARDS 1-3,1306.5017313875212,1636,74,1448,24,55,4,0,27,4,1366,49,1231,11,48,3,0,22,2
RACINE - VILLAGE OF YORKVILLE WARDS 1-5,96.94398652069953,3246,171,2943,24,29,41,0,37,1,2515,119,2315,15,20,19,0,27,0
RICHLAND - CITY OF RICHLAND WARDS 1-14,1029.5328302171451,4799,278,4224,89,67,73,3,52,13,3697,154,3357,39,42,58,1,38,8
RICHLAND - TOWN OF AKAN WARD 1,10.852481254916896,391,2,378,1,5,1,0,2,2,292,2,285,1,2,1,0,1,0
RICHLAND - TOWN OF BLOOM WARD 1,14.920082687838391,538,7,513,5,1,4,1,6,1,393,3,384,1,0,0,1,4,0
RICHLAND - TOWN OF BUENA VISTA WARDS 1-4,43.870893049393075,1807,50,1682,9,11,18,3,30,4,1398,36,1304,7,7,16,3,24,1
RICHLAND - TOWN OF DAYTON WARDS 1-2,21.76206118413598,763,18,728,1,1,7,0,7,1,633,11,606,1,1,7,0,6,1
RICHLAND - TOWN OF EAGLE WARD 1,14.16097719618608,492,7,468,1,4,8,0,3,1,377,3,364,0,4,4,0,1,1
RICHLAND - TOWN OF FOREST WARD 1,9.408000980719,333,5,309,5,2,5,0,6,1,271,4,256,0,1,4,0,5,1
RICHLAND - TOWN OF HENRIETTA WARD 1,12.11397378459806,435,2,417,0,3,5,0,8,0,350,2,339,0,2,3,0,4,0
RICHLAND - TOWN OF ITHACA WARD 1,17.58478381353329,633,8,607,3,4,3,0,8,0,479,5,459,2,2,3,0,8,0
RICHLAND - TOWN OF MARSHALL WARD 1,15.015003479103209,540,4,517,4,4,5,0,5,1,409,3,397,0,2,3,0,3,1
RICHLAND - TOWN OF ORION WARD 1,15.145156824902132,541,22,478,7,0,17,2,11,4,416,11,384,1,0,8,2,7,3
RICHLAND - TOWN OF RICHLAND WARDS 1-4,47.84724437256466,1490,27,1397,15,22,12,3,13,1,1155,18,1098,1,13,11,3,11,0
RICHLAND - TOWN OF RICHWOOD WARDS 1-2,12.675412878000284,527,8,500,5,4,1,0,9,0,421,7,403,1,3,1,0,6,0
RICHLAND - TOWN OF ROCKBRIDGE WARDS 1-3,19.32962386460979,697,13,663,4,2,5,0,9,1,561,6,543,2,1,1,0,8,0
RICHLAND - TOWN OF SYLVAN WARDS 1-3,14.323157037872225,516,4,501,3,0,6,0,2,0,363,2,350,3,0,6,0,2,0
RICHLAND - TOWN OF WESTFORD WARD 1,14.79901597379196,516,9,497,4,2,3,0,1,0,408,9,396,0,1,1,0,1,0
RICHLAND - TOWN OF WILLOW WARD 1,13.852144182084372,496,8,474,2,0,7,0,2,3,382,3,373,0,0,3,0,2,1
RICHLAND - VILLAGE OF BOAZ WARD 1,358.9258792408375,129,1,121,0,0,2,0,5,0,105,0,102,0,0,0,0,3,0
RICHLAND - VILLAGE OF CAZENOVIA WARD 1,381.4214601201664,343,2,325,1,1,5,0,7,2,255,1,245,0,0,3,0,6,0
RICHLAND - VILLAGE OF LONE ROCK WARD 1,837.8868310337716,829,37,748,0,11,22,0,10,1,653,19,597,0,8,18,0,10,1
RICHLAND - VILLAGE OF VIOLA WARD 2,1079.8603650450334,436,12,417,0,1,2,0,1,3,311,11,296,0,0,1,0,0,3
RICHLAND - VILLAGE OF YUBA WARD 1,190.43419365558916,53,2,50,1,0,0,0,0,0,40,2,38,0,0,0,0,0,0
ROCK - CITY OF BELOIT WARD 1,290.64871620321026,599,100,396,81,10,1,0,6,5,462,68,319,64,6,0,0,3,2
ROCK - CITY OF BELOIT WARD 10,3852.3717852817176,1968,375,1213,319,6,22,1,24,8,1466,218,1004,198,5,16,0,18,7
ROCK - CITY OF BELOIT WARD 11,2536.5425940583664,1006,295,345,295,25,23,0,13,10,711,182,283,185,18,22,0,11,10
ROCK - CITY OF BELOIT WARD 12,4693.204098297474,1821,244,1015,262,227,8,17,41,7,1718,206,984,234,226,7,17,40,4
ROCK - CITY OF BELOIT WARD 13,3021.8017905318243,1899,304,1139,335,52,37,1,20,11,1414,191,933,199,33,32,1,15,10
ROCK - CITY OF BELOIT WARD 14,6164.255051007516,2018,744,805,391,7,40,1,16,14,1357,454,620,230,5,27,1,13,7
ROCK - CITY OF BELOIT WARD 15,2705.0067553477734,1456,435,479,477,5,19,0,18,23,1044,298,381,327,1,16,0,13,8
ROCK - CITY OF BELOIT WARD 16,6899.694901182046,1914,640,636,557,23,21,0,10,27,1313,396,481,378,10,20,0,10,18
ROCK - CITY OF BELOIT WARD 17,5345.541169129931,1024,230,518,217,15,24,0,13,7,764,156,420,144,11,15,0,12,6
ROCK - CITY OF BELOIT WARD 18,2954.997372805269,1238,237,722,232,19,11,2,6,9,978,155,607,189,6,10,2,6,3
ROCK - CITY OF BELOIT WARD 19,3554.99199780422,1881,348,1097,298,44,28,2,56,8,1495,239,941,217,29,28,1,39,1
ROCK - CITY OF BELOIT WARD 2,4145.697041408937,1995,205,1408,318,27,22,1,10,4,1523,115,1170,193,21,16,0,6,2
ROCK - CITY OF BELOIT WARD 20,1281.423935150446,932,135,597,144,20,9,0,23,4,741,83,532,87,13,7,0,18,1
ROCK - CITY OF BELOIT WARD 21,1446.6381876699695,851,78,617,108,16,19,0,11,2,683,36,531,78,16,11,0,11,0
ROCK - CITY OF BELOIT WARD 22,1020.2030972064288,1726,174,1319,148,48,14,0,19,4,1397,104,1120,103,40,11,0,15,4
ROCK - CITY OF BELOIT WARD 23,339.432965876002,1494,271,1037,93,53,29,3,5,3,1183,185,864,68,40,18,2,5,1
ROCK - CITY OF BELOIT WARD 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCK - CITY OF BELOIT WARD 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF BELOIT WARD 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF BELOIT WARD 27,3624.938943360185,610,92,406,86,9,3,0,11,3,507,53,376,65,8,0,0,5,0
ROCK - CITY OF BELOIT WARD 28,3252.429474465994,280,32,185,30,18,3,0,12,0,223,7,162,27,16,3,0,8,0
ROCK - CITY OF BELOIT WARD 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF BELOIT WARD 3,1934.6654584127116,1694,250,1240,127,24,21,0,24,8,1302,153,1028,67,11,16,0,22,5
ROCK - CITY OF BELOIT WARD 30,5549.7655678220335,12,2,6,2,0,1,0,1,0,10,1,6,2,0,1,0,0,0
ROCK - CITY OF BELOIT WARD 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF BELOIT WARD 4,4286.042712209823,1766,342,1151,178,20,39,3,30,3,1295,200,917,100,15,33,0,27,3
ROCK - CITY OF BELOIT WARD 5,4740.282164571307,1924,365,1287,170,20,45,2,25,10,1431,201,1077,80,14,33,2,20,4
ROCK - CITY OF BELOIT WARD 6,8187.887623942451,1928,538,984,316,18,36,0,23,13,1310,329,760,162,15,25,0,14,5
ROCK - CITY OF BELOIT WARD 7,7940.910183790114,1864,602,815,372,15,26,0,20,14,1245,356,624,223,7,13,0,15,7
ROCK - CITY OF BELOIT WARD 8,4814.592939425965,1638,428,727,415,14,18,0,21,15,1179,246,613,273,10,14,0,15,8
ROCK - CITY OF BELOIT WARD 9,7920.844017247812,1112,336,505,219,8,31,0,6,7,762,199,400,125,8,21,0,3,6
ROCK - CITY OF BRODHEAD WARD 1,617.0975963407831,85,1,80,2,0,2,0,0,0,77,1,73,2,0,1,0,0,0
"ROCK - CITY OF EDGERTON WARDS 1-6,8",1600.0925776416116,5799,327,5146,79,66,89,5,80,7,4390,184,3994,57,35,58,1,56,5
ROCK - CITY OF EVANSVILLE WARDS 1-11,1554.5300843770117,5649,288,5050,83,92,72,5,51,8,4181,173,3822,33,54,56,4,35,4
ROCK - CITY OF JANESVILLE WARD 1,1187.5131803810416,2594,155,2226,82,59,20,12,33,7,2030,95,1797,41,35,16,12,30,4
ROCK - CITY OF JANESVILLE WARD 10,1978.0607328815704,2558,126,2261,78,30,36,1,23,3,1963,60,1784,42,28,32,1,14,2
ROCK - CITY OF JANESVILLE WARD 11,533.9258647519003,2489,274,2001,112,32,32,0,23,15,1950,162,1641,71,32,29,0,12,3
ROCK - CITY OF JANESVILLE WARD 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCK - CITY OF JANESVILLE WARD 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF JANESVILLE WARD 14,1412.246119087759,2788,459,2066,108,47,60,2,38,8,2089,251,1669,52,34,46,2,34,1
ROCK - CITY OF JANESVILLE WARD 15,3223.7764538309675,2933,130,2598,82,41,27,0,47,8,2293,73,2099,28,29,25,0,33,6
ROCK - CITY OF JANESVILLE WARD 16,2180.063818778563,2823,147,2435,99,75,39,3,17,8,2238,93,1994,56,47,32,3,8,5
ROCK - CITY OF JANESVILLE WARD 17,674.6449135135628,1000,53,871,40,22,5,0,9,0,813,34,727,31,10,2,0,9,0
ROCK - CITY OF JANESVILLE WARD 18,2971.9448025511847,1778,75,1588,52,29,22,0,11,1,1450,50,1323,23,26,18,0,10,0
ROCK - CITY OF JANESVILLE WARD 19,2746.277781608513,2007,85,1764,55,38,34,2,27,2,1570,47,1415,28,28,24,2,25,1
ROCK - CITY OF JANESVILLE WARD 2,4462.885738974519,2878,269,2286,197,54,39,1,27,5,2234,161,1881,102,34,35,1,19,1
ROCK - CITY OF JANESVILLE WARD 20,2447.7278377745524,831,22,759,14,15,10,0,6,5,679,16,623,9,15,10,0,5,1
ROCK - CITY OF JANESVILLE WARD 21,4921.331316352983,1739,145,1373,159,36,12,0,9,5,1323,97,1098,82,29,9,0,8,0
ROCK - CITY OF JANESVILLE WARD 22,3730.23635750072,1859,121,1547,105,33,22,0,31,0,1513,79,1306,75,20,11,0,22,0
ROCK - CITY OF JANESVILLE WARD 23,3344.8945278961587,1115,69,926,50,31,21,0,15,3,863,32,758,24,24,14,0,11,0
ROCK - CITY OF JANESVILLE WARD 24,4610.319122670034,918,35,821,19,27,2,1,12,1,740,31,670,11,18,0,1,9,0
ROCK - CITY OF JANESVILLE WARD 25,35.06477259959713,20,3,4,4,5,3,0,1,0,10,1,3,1,4,0,0,1,0
ROCK - CITY OF JANESVILLE WARD 26,4114.011704859931,2682,178,2289,66,65,40,4,32,8,2146,115,1878,51,42,34,1,22,3
ROCK - CITY OF JANESVILLE WARD 27,5317.360016919801,2588,172,2228,85,28,42,4,27,2,1996,87,1786,41,25,33,4,18,2
ROCK - CITY OF JANESVILLE WARD 28,707.4151389899932,2107,143,1623,211,62,47,0,14,7,1754,96,1387,165,48,40,0,13,5
ROCK - CITY OF JANESVILLE WARD 29,1205.043877948906,919,30,848,9,12,14,1,5,0,603,18,561,2,12,6,1,3,0
ROCK - CITY OF JANESVILLE WARD 3,4678.17194937939,2743,282,2106,247,18,49,1,22,18,2164,185,1721,172,16,42,0,20,8
ROCK - CITY OF JANESVILLE WARD 30,3755.002837057608,1950,117,1641,80,36,36,2,33,5,1542,72,1350,38,27,24,2,25,4
ROCK - CITY OF JANESVILLE WARD 31,2901.1414579261054,1989,217,1555,98,79,28,2,6,4,1592,132,1327,53,50,20,2,4,4
ROCK - CITY OF JANESVILLE WARD 32,772.9843137089376,995,27,851,31,62,4,1,18,1,736,16,662,8,38,1,0,11,0
ROCK - CITY OF JANESVILLE WARD 33,1988.6231400600257,2040,68,1850,39,54,15,0,14,0,1540,45,1416,26,32,13,0,8,0
ROCK - CITY OF JANESVILLE WARD 34,2701.5322259817276,1806,71,1646,30,24,17,2,16,0,1320,51,1213,14,16,12,2,12,0
ROCK - CITY OF JANESVILLE WARD 35,3076.280481320995,832,18,753,6,38,7,2,7,1,620,11,577,3,22,1,2,4,0
ROCK - CITY OF JANESVILLE WARD 36,536.2026728097242,404,25,353,8,4,11,1,0,2,311,15,278,5,2,8,1,0,2
ROCK - CITY OF JANESVILLE WARD 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCK - CITY OF JANESVILLE WARD 38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF JANESVILLE WARD 4,5732.408823049766,2958,390,1827,440,133,67,8,59,34,2114,227,1471,212,88,47,5,44,20
ROCK - CITY OF JANESVILLE WARD 5,1618.9537188774266,2827,282,2156,207,94,48,0,34,6,2078,149,1697,107,53,40,0,30,2
ROCK - CITY OF JANESVILLE WARD 6,2080.768192391167,2625,64,2394,86,36,24,1,15,5,2043,35,1910,38,28,19,0,8,5
ROCK - CITY OF JANESVILLE WARD 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK - CITY OF JANESVILLE WARD 8,3026.410046491838,2835,164,2425,71,71,59,1,33,11,2277,78,2047,37,44,33,0,31,7
ROCK - CITY OF JANESVILLE WARD 9,4258.230664693154,2799,293,2227,185,25,36,0,23,10,2106,190,1761,91,18,25,0,16,5
ROCK - CITY OF MILTON WARDS 1-12,1203.0800089612103,5698,217,5232,59,71,63,2,51,3,4356,113,4086,20,42,44,2,47,2
ROCK - TOWN OF AVON WARD 1,15.989215795050788,570,18,531,6,1,10,0,3,1,468,12,441,4,1,8,0,2,0
ROCK - TOWN OF BELOIT WARD 5,937.1667517766874,10,0,9,0,0,1,0,0,0,6,0,5,0,0,1,0,0,0
"ROCK - TOWN OF BELOIT WARDS 1-4,13",103.20095020199638,2234,113,1925,78,35,38,0,40,5,1792,66,1594,47,20,35,0,28,2
ROCK - TOWN OF BELOIT WARDS 6-8,2036.9751233539776,2435,419,1620,320,21,29,0,18,8,1867,235,1355,218,19,26,0,13,1
ROCK - TOWN OF BELOIT WARDS 9-12,908.285858183878,3059,226,2560,154,45,44,0,26,4,2475,135,2148,103,27,37,0,21,4
ROCK - TOWN OF BRADFORD WARDS 1-2,28.133381769825725,1013,163,827,3,6,4,2,5,3,783,111,660,2,4,3,0,2,1
ROCK - TOWN OF CENTER WARDS 1-2,29.300604730879755,1046,13,989,11,5,20,1,6,1,853,7,816,7,3,15,0,5,0
ROCK - TOWN OF CLINTON WARD 1,25.218909520427967,889,36,806,14,0,13,3,16,1,681,17,638,6,0,6,3,11,0
ROCK - TOWN OF FULTON WARDS 1-6,113.82759410558364,3580,108,3327,19,31,52,4,36,3,2850,65,2696,5,20,41,3,18,2
ROCK - TOWN OF HARMONY WARDS 1-3,121.01536392104911,2602,58,2408,22,33,37,0,39,5,2004,45,1882,8,25,19,0,21,4
"ROCK - TOWN OF JANESVILLE WARDS 1,6",60.493107060886544,627,10,598,1,10,7,0,0,1,506,7,485,0,9,4,0,0,1
"ROCK - TOWN OF JANESVILLE WARDS 2-5,7-10",189.9336397833422,3109,50,2921,22,38,36,1,40,1,2483,30,2364,9,29,19,0,31,1
ROCK - TOWN OF JOHNSTOWN WARD 1,21.24073917711907,766,24,721,4,4,11,0,1,1,599,6,587,0,1,4,0,0,1
ROCK - TOWN OF LA PRAIRIE WARD 1,19.22583591923904,567,18,525,4,0,12,0,8,0,461,6,438,3,0,11,0,3,0
ROCK - TOWN OF LA PRAIRIE WARD 2,43.9212466481252,217,7,199,2,0,1,0,8,0,172,3,159,2,0,1,0,7,0
ROCK - TOWN OF LIMA WARDS 1-2,34.92922658947924,1271,227,1003,8,9,10,0,9,5,985,144,819,4,3,7,0,7,1
ROCK - TOWN OF MAGNOLIA WARD 1,20.648754184764712,742,31,666,8,2,17,1,17,0,588,18,541,6,2,10,0,11,0
ROCK - TOWN OF MILTON WARDS 1-5,105.3115383595379,3118,109,2898,21,18,37,1,31,3,2515,70,2372,11,6,33,0,22,1
ROCK - TOWN OF NEWARK WARDS 1-2,41.56193235006076,1510,37,1417,8,10,23,0,14,1,1223,18,1171,4,6,15,0,9,0
ROCK - TOWN OF PLYMOUTH WARDS 1-3,35.02478700685377,1245,19,1200,10,1,4,0,8,3,1005,13,976,4,0,4,0,8,0
ROCK - TOWN OF PORTER WARD 1,26.98685474245825,969,10,914,2,10,22,1,9,1,784,3,750,2,1,17,1,9,1
"ROCK - TOWN OF ROCK WARDS 1-5,8",109.2496753836184,2688,184,2260,57,60,63,0,60,4,2132,107,1875,24,32,54,0,39,1
ROCK - TOWN OF ROCK WARDS 6-7,232.95818970966872,375,10,334,8,8,7,0,6,2,311,4,287,7,5,7,0,1,0
ROCK - TOWN OF SPRING VALLEY WARD 1,20.90096186707326,728,10,690,4,8,11,0,4,1,589,6,570,2,1,6,0,4,0
ROCK - TOWN OF TURTLE WARD 1,129.65882209129364,651,39,554,24,4,13,0,14,3,532,21,462,18,4,12,0,13,2
ROCK - TOWN OF TURTLE WARDS 2-4,74.36436505552456,1732,89,1543,32,17,34,3,12,2,1400,56,1275,23,9,22,2,12,1
ROCK - TOWN OF UNION WARDS 1-3,65.99024381530849,2158,93,1983,21,16,18,0,25,2,1661,55,1542,12,13,16,0,21,2
ROCK - VILLAGE OF CLINTON WARDS 1-3,1552.340393559895,2221,269,1849,44,10,26,2,19,2,1652,138,1442,21,9,24,1,17,0
ROCK - VILLAGE OF FOOTVILLE WARDS 1-2,684.1784204324708,772,7,744,4,1,8,0,8,0,593,2,571,4,0,8,0,8,0
ROCK - VILLAGE OF ORFORDVILLE WARDS 1-2,1243.1825643790382,1473,59,1320,30,4,24,3,32,1,1095,38,990,19,3,20,0,24,1
RUSK - CITY OF LADYSMITH WARDS 1-15,762.6157138078601,3216,97,2923,41,42,69,1,37,6,2525,57,2332,22,29,52,0,33,0
RUSK - TOWN OF ATLANTA WARDS 1-3,11.034619137552252,560,6,516,2,3,14,0,18,1,464,5,429,2,1,13,0,14,0
RUSK - TOWN OF BIG BEND WARDS 1-2,12.390597046323686,401,10,384,0,0,2,0,4,1,348,6,337,0,0,1,0,3,1
RUSK - TOWN OF BIG FALLS WARD 1,3.2557614735281417,115,7,104,0,0,1,1,1,1,100,4,93,0,0,1,0,1,1
RUSK - TOWN OF CEDAR RAPIDS WARD 1,1.0231462206229072,36,0,36,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0
RUSK - TOWN OF DEWEY WARD 1,17.45648591657368,542,11,521,0,0,6,0,4,0,433,9,416,0,0,4,0,4,0
RUSK - TOWN OF FLAMBEAU WARDS 1-3,28.772869248734693,987,12,942,1,0,16,1,11,4,823,10,784,1,0,14,0,10,4
RUSK - TOWN OF GRANT WARDS 1-6,22.068533583030156,732,13,690,4,4,6,0,12,3,559,6,539,1,2,5,0,4,2
RUSK - TOWN OF GROW WARDS 1-2,12.564484062630346,443,6,427,2,1,2,0,4,1,322,6,309,0,1,2,0,4,0
RUSK - TOWN OF HAWKINS WARD 1,2.6927939870620383,122,3,112,0,0,6,0,1,0,100,2,95,0,0,2,0,1,0
RUSK - TOWN OF HUBBARD WARD 1,4.0429800294429254,178,1,165,0,3,0,0,8,1,153,1,142,0,1,0,0,8,1
RUSK - TOWN OF LAWRENCE WARDS 1-2,6.320840954693087,301,7,285,0,0,4,0,4,1,226,5,213,0,0,3,0,4,1
RUSK - TOWN OF MARSHALL WARDS 1-3,18.741439444545033,664,12,634,0,3,7,0,8,0,442,7,418,0,2,7,0,8,0
RUSK - TOWN OF MURRY WARD 1,3.9982793236951784,247,4,232,0,0,7,0,4,0,199,2,187,0,0,6,0,4,0
RUSK - TOWN OF RICHLAND WARDS 1-2,8.552550815748027,197,0,190,1,1,1,0,3,1,170,0,165,1,0,1,0,2,1
RUSK - TOWN OF RUSK WARD 1,16.672023197983137,551,13,517,1,3,6,0,10,1,484,11,457,1,3,5,0,6,1
RUSK - TOWN OF SOUTH FORK WARD 1,3.2565509055161455,115,0,111,0,0,4,0,0,0,105,0,101,0,0,4,0,0,0
RUSK - TOWN OF STRICKLAND WARDS 1-2,8.0885654541032,280,4,263,0,0,10,0,3,0,223,4,207,0,0,9,0,3,0
RUSK - TOWN OF STUBBS WARDS 1-2,14.309161309981372,513,10,469,1,6,13,0,13,1,429,7,395,1,2,12,0,12,0
RUSK - TOWN OF THORNAPPLE WARDS 1-5,14.11540140271548,721,8,669,1,12,15,0,12,4,589,4,552,1,9,11,0,10,2
RUSK - TOWN OF TRUE WARD 1,10.165062595980988,237,0,228,0,0,3,0,6,0,204,0,195,0,0,3,0,6,0
RUSK - TOWN OF WASHINGTON WARD 1,10.735438865139576,360,0,353,0,0,3,0,3,1,306,0,301,0,0,2,0,2,1
RUSK - TOWN OF WILKINSON WARD 1,1.4517505543887117,51,0,46,0,0,1,0,3,1,45,0,41,0,0,1,0,2,1
RUSK - TOWN OF WILLARD WARD 1,14.9062370847822,525,5,509,0,4,2,0,4,1,417,5,407,0,0,2,0,2,1
RUSK - TOWN OF WILSON WARD 1,3.4240002160727556,116,3,106,0,0,6,0,0,1,99,3,95,0,0,0,0,0,1
RUSK - VILLAGE OF BRUCE WARDS 1-2,347.47913738803175,791,15,744,3,4,11,1,10,3,598,9,571,0,1,10,0,5,2
RUSK - VILLAGE OF CONRATH WARD 1,172.57973984098436,88,2,77,0,0,2,0,7,0,66,1,58,0,0,2,0,5,0
RUSK - VILLAGE OF GLEN FLORA WARD 1,177.13201180977947,100,0,91,1,0,5,0,3,0,70,0,64,1,0,3,0,2,0
